sentence,category
Oh dear .,FRA
Thomas what 's the matter what 's the matter ?,FRA
Oh dear dear dear .,FRA
Oh that was a nice squeal Thomas .,FRA
No more juice .,FRA
Was n't it ?,FRA
Wow juice .,FRA
Was there shoe it .,FRA
Whose shoe is it ?,FRA
It 's breakfast time .,FRA
What is it ?,FRA
What 's dis ?,FRA
Dadda 's shoes .,FRA
It 's a bottle of juice .,FRA
Daddy 's shoes .,FRA
Where are Thomas 's shoes ?,FRA
Orange juice .,FRA
Um there shoes .,FRA
Mummy 's shoes .,FRA
Shoes and socks .,FRA
What 's da ?,FRA
These are Mummy 's shoes .,FRA
Dadda Dadda 's shoes .,FRA
Those are Daddy 's shoes .,FRA
Blue bus .,FRA
Where 's the blue bus ?,FRA
What 's that Thomas ?,FRA
What 's that ?,FRA
It 's over there .,FRA
Your shoes ?,FRA
Right socks on .,FRA
How many balloons are there ?,FRA
Baby 's shoes .,FRA
Oh they 're my shoes .,FRA
A balloon .,FRA
What 's dis here ?,FRA
What 's this Thomas ?,FRA
One two three four .,FRA
Who 's this on this balloon ?,FRA
What are those ?,FRA
A Po .,FRA
A this .,FRA
Who 's this balloon ?,FRA
And what are those ?,FRA
They 're slippers are n't they ?,FRA
And who 's on that balloon ?,FRA
That 's the two coaches .,FRA
With ducks on the front .,FRA
Who 's on that balloon ?,FRA
Annie and Clarabel .,FRA
Who 's that ?,FRA
That 's a glass of milk .,FRA
Wo this ?,FRA
Now which one 's that ?,FRA
Is this James ?,FRA
Where 's James on the book ?,FRA
That 's bread .,FRA
Bertie the bus .,FRA
Banana banana .,FRA
That 's Thomas .,FRA
Beep beep .,FRA
Pear good boy .,FRA
That 's a church in the corner .,FRA
That 's Thomas there .,FRA
That 's Toby .,FRA
That 's James the red engine .,FRA
You 've not .,FRA
That 's James .,FRA
And Percy !,FRA
And a football ?,FRA
Well Percy 's on the book .,FRA
That 's two coaches Annie and Clarabel .,FRA
That 's cucumber .,FRA
That 's a shopping basket like yours .,FRA
That 's a lettuce .,FRA
That 's about the only time your quiet Thomas .,FRA
There you are .,FRA
You 're quiet when you 're asleep as well .,FRA
Where is he ?,FRA
You are .,FRA
And James ?,FRA
No no no no .,FRA
That 's Thomas is n't it ?,FRA
That 's an orange .,FRA
Bye bye .,FRA
And Thomas .,FRA
It 's like a football is n't it ?,FRA
And which one 's the blue engine ?,FRA
Like a ball .,FRA
Is here .,FRA
Percy 's green .,FRA
A ball .,FRA
Where 's Percy ?,FRA
That 's red .,FRA
Which one 's the blue engine ?,FRA
And your hands .,FRA
The postman ?,FRA
It 's an apple .,FRA
Is Thomas tired ?,FRA
It 's a red apple .,FRA
A red apple .,FRA
After breakfast .,FRA
That 's a green apple .,FRA
Yes darling ?,FRA
There we are .,FRA
Wha there ?,FRA
That 's another green apple .,FRA
It 's the post man .,FRA
Because you 're too heavy .,FRA
A more pear .,FRA
Oh it 's better now .,FRA
It 's green trousers today Thomas .,FRA
What 's this ?,FRA
More pear .,FRA
And that 's Percy .,FRA
Oh oh dear oh dear .,FRA
Another pear .,FRA
Green trousers .,FRA
That 's two pears .,FRA
Two pear .,FRA
They 're green .,FRA
And that 's Thomas the blue engine .,FRA
A juice .,FRA
No no .,FRA
That 's not a pear is it ?,FRA
Ours is a tabby is n't she ?,FRA
They 're new socks .,FRA
What 's it ?,FRA
They 're a bit big are n't they ?,FRA
Have you been a good boy ?,FRA
A lemon .,FRA
A sock blue .,FRA
What color is the lemon ?,FRA
Socks are blue but trousers are green are n't they ?,FRA
Ooh wow .,FRA
It 's not blue .,FRA
And how old was Jake ?,FRA
It 's yellow .,FRA
He was two .,FRA
And how old was Thomas last week ?,FRA
No they 're not peas .,FRA
How old was he ?,FRA
That 's a blue car .,FRA
What are they ?,FRA
How old was Thomas last Saturday ?,FRA
Where the mess .,FRA
And how old was Jake last night ?,FRA
Oh shower .,FRA
They 're grapes .,FRA
We 're being nosy neighbors Thomas are n't we ?,FRA
He was two he was two .,FRA
Green grapes .,FRA
No no no .,FRA
M bye .,FRA
Are we not ?,FRA
Aah that 's alright then .,FRA
We 're not being nosy .,FRA
And pop !,FRA
Who 's this ?,FRA
It 's James .,FRA
Wave byebye .,FRA
Crackle and pop .,FRA
That 's a little bit cheeky .,FRA
Warm wooly socks .,FRA
Ooh stuck .,FRA
Byebye postman .,FRA
First one .,FRA
You 're a cheeky boy .,FRA
That 's Percy .,FRA
And then two .,FRA
Percy 's the green engine .,FRA
Toby 's brown is n't he ?,FRA
Oh dear dear .,FRA
Crackle and .,FRA
Most of them are of you .,FRA
But he 's brown .,FRA
Because it 's quite warm .,FRA
Like the big brown bear .,FRA
Where 's oh where the bus ?,FRA
That 's Daddy .,FRA
Where 's the bus ?,FRA
That 's brown .,FRA
This is brown .,FRA
And your shoes your laces are brown .,FRA
Oops oh dear dear .,FRA
But you 're giddy this morning are n't you ?,FRA
Oops oh dear .,FRA
That 's Abigail .,FRA
A that .,FRA
She was very very tiny .,FRA
She was only a few hours old .,FRA
Where 's blue ?,FRA
Is that baby Abigail ?,FRA
Oh how many shoes are there ?,FRA
And where 's green ?,FRA
Is that baby Abigail with Daddy ?,FRA
E ah e .,FRA
Bye bye Thomas .,FRA
There she is again .,FRA
No that 's green .,FRA
And that 's red like Po .,FRA
A banana ?,FRA
Two eight .,FRA
Two slippers .,FRA
The baby .,FRA
Where 's Po ?,FRA
A pair of slippers .,FRA
That 's right .,FRA
Where a Bow ?,FRA
They 're nice .,FRA
N n nice .,FRA
Mm nice .,FRA
A pop .,FRA
Oh there .,FRA
A Nana .,FRA
A pig .,FRA
Ooh Bow .,FRA
M a more two .,FRA
Where 's a Bow ?,FRA
Da there ?,FRA
Oh no .,FRA
A there .,FRA
Oh Thomas .,FRA
Hello Bow .,FRA
Shoe sock .,FRA
Wo dis ?,FRA
A Dadda .,FRA
A Dadda a work .,FRA
Daddy tea .,FRA
This shoes .,FRA
Me black .,FRA
Oh Dadda .,FRA
It is .,FRA
A wash .,FRA
Who 's that on the corner ?,FRA
Where the bus ?,FRA
Green red sock .,FRA
No more .,FRA
Blue stripe .,FRA
A stuck .,FRA
Oh no no .,FRA
Oh oh .,FRA
More bubbles ?,FRA
Uh oh Pooh .,FRA
Six bear .,FRA
Oop oh .,FRA
Six six seven .,FRA
More juice .,FRA
Meow meow .,FRA
Who dis .,FRA
Where Dadda ?,FRA
A Bow .,FRA
Ow ow ow .,FRA
Hello a Bow .,FRA
Hello hello Bow .,FRA
A jump .,FRA
And yellow .,FRA
A strap .,FRA
Oh no no no oh no no no .,FRA
A more .,FRA
Whoo whoo whoo .,FRA
Beep beep beep beep beep .,FRA
A Sue .,FRA
No Sue .,FRA
A steps .,FRA
That 's it .,FRA
Big hat .,FRA
Two steps .,FRA
A more Sue ?,FRA
More Sue .,FRA
Whoo whoo whoo whoo .,FRA
Wo a giraffe .,FRA
Sue 's a work .,FRA
Where 's the bear ?,FRA
There some tea .,FRA
And this .,FRA
There a sock .,FRA
Where the bubble .,FRA
Meow meow meow .,FRA
Blue straw .,FRA
Two chair .,FRA
And then some more bubble .,FRA
A blue straw straw .,FRA
More bubble .,FRA
Oh eight .,FRA
A both Sue .,FRA
Where is it ?,FRA
Where giraffe ?,FRA
Oh wow wow wow .,FRA
Sue woof woof woof .,FRA
Who is this ?,FRA
What 's the matter ?,FRA
A car .,FRA
Dadda 's sock ?,FRA
A blue .,FRA
A dat ?,FRA
A blue oh dear .,FRA
Where a bus ?,FRA
Balloon Hat .,FRA
Beep beep beep beep beep beep beep beep beep beep beep .,FRA
Is Hat .,FRA
Aah there Bow .,FRA
Where truck ?,FRA
Beep beep beep beep bus .,FRA
Bus bus .,FRA
Shops shops .,FRA
Aah no .,FRA
Oh no no no .,FRA
Bus a more shops .,FRA
There a boat .,FRA
Bus a shops .,FRA
Oh here a Bow .,FRA
Bus a shop .,FRA
Green balloon .,FRA
Sue a work .,FRA
Aah Dadda .,FRA
Ooh mm .,FRA
Oh dear oh dear oh dear .,FRA
Good boy .,FRA
Where the grapes ?,FRA
What 's on the mug ?,FRA
Oh ah .,FRA
More balloons .,FRA
Wodar tea wodar .,FRA
It 's a Mooh .,FRA
On the chair .,FRA
It a Po .,FRA
Where the grapes grapes ?,FRA
A these .,FRA
Eh no .,FRA
Oh dear oh dear .,FRA
Beep beep beep beep .,FRA
What that ?,FRA
Um no .,FRA
What 's in there ?,FRA
What in there ?,FRA
On this .,FRA
Bang bang .,FRA
Where box ?,FRA
Two box .,FRA
A ada ?,FRA
Where the box ?,FRA
Woof woof woof woof .,FRA
A this is yellow .,FRA
What there ?,FRA
Aah yellow .,FRA
It 's here .,FRA
Snip snip .,FRA
Uh oh nice .,FRA
Oh two !,FRA
Oh dear poor bear .,FRA
A many two .,FRA
Two bear .,FRA
Oops a dog .,FRA
No Thomas .,FRA
A dog .,FRA
A beep beep .,FRA
Two tea .,FRA
Silly Mummy .,FRA
The grapes .,FRA
Two six .,FRA
Blue blue .,FRA
Oh grapes .,FRA
On there .,FRA
Mm yes .,FRA
Dadda a work .,FRA
More choc .,FRA
Ooh whoops .,FRA
Six eight .,FRA
Where grapes .,FRA
Sue Sue .,FRA
Where the balloon ?,FRA
Oh wow !,FRA
What 's dat ?,FRA
What dis ?,FRA
A two pear .,FRA
A help .,FRA
Ha ha .,FRA
Oh stuck .,FRA
A this bus .,FRA
A this this ?,FRA
A duck .,FRA
Two eggs .,FRA
More badge .,FRA
And juice .,FRA
Oh oh dear .,FRA
A moo .,FRA
A hat .,FRA
It 's Ted .,FRA
Pyjamas pyjamas .,FRA
Is a hat .,FRA
Po Lala Po Hat .,FRA
No no no no no .,FRA
Two badge .,FRA
Where shoes ?,FRA
Here we are .,FRA
A more badge .,FRA
A this shoes .,FRA
Lala Po Hat .,FRA
That 's lovely .,FRA
Like that .,FRA
And two badge .,FRA
