sentence,category
Red bus called Bertie .,UNCATEGORIZED
You 're called Thomas .,UNCATEGORIZED
A do .,UNCATEGORIZED
It 's not stuck .,UNCATEGORIZED
And then some help to tie your shoe .,UNCATEGORIZED
We 're stuck .,UNCATEGORIZED
All done .,UNCATEGORIZED
And put a clean bib on .,UNCATEGORIZED
Just look .,UNCATEGORIZED
All gone .,UNCATEGORIZED
Do n't worry .,UNCATEGORIZED
Wo there stuck .,UNCATEGORIZED
Beep beep stop .,UNCATEGORIZED
All finished ?,UNCATEGORIZED
A gone .,UNCATEGORIZED
And look .,UNCATEGORIZED
Grapes all done .,UNCATEGORIZED
Beep beep a truck .,UNCATEGORIZED
Eh all done .,UNCATEGORIZED
Do n't know .,UNCATEGORIZED
Do n't move .,UNCATEGORIZED
Do n't throw it down .,UNCATEGORIZED
There is .,UNCATEGORIZED
Do n't do that please .,UNCATEGORIZED
Then look .,UNCATEGORIZED
Does n't matter .,UNCATEGORIZED
Do n't touch it .,UNCATEGORIZED
Not see it .,UNCATEGORIZED
Do n't make silly noises .,UNCATEGORIZED
Because look .,UNCATEGORIZED
And banged my arm .,UNCATEGORIZED
Please do n't mess with the light Thomas .,UNCATEGORIZED
And come away from the light .,UNCATEGORIZED
Now do n't lose that .,UNCATEGORIZED
Just have a look at these darling .,UNCATEGORIZED
Back fall down .,UNCATEGORIZED
Back fall .,UNCATEGORIZED
Do n't tip the money out .,UNCATEGORIZED
Ambulance to make people better ?,UNCATEGORIZED
Not singing the words .,UNCATEGORIZED
Not comes .,UNCATEGORIZED
Not do it .,UNCATEGORIZED
Na no open it it .,UNCATEGORIZED
Mummy not cry .,UNCATEGORIZED
No come .,UNCATEGORIZED
No Mummy cry .,UNCATEGORIZED
No break them .,UNCATEGORIZED
Not fit .,UNCATEGORIZED
Not coming past .,UNCATEGORIZED
A gone away now .,UNCATEGORIZED
Not cry Purdie .,UNCATEGORIZED
Not taste nice .,UNCATEGORIZED
Not get in .,UNCATEGORIZED
No get out .,UNCATEGORIZED
Another stop something .,UNCATEGORIZED
Not get in there .,UNCATEGORIZED
No going in there .,UNCATEGORIZED
No bite it .,UNCATEGORIZED
No see Thomas ?,UNCATEGORIZED
Not bite Thomas .,UNCATEGORIZED
All done the train .,UNCATEGORIZED
And stick .,UNCATEGORIZED
Not go .,UNCATEGORIZED
Not mind it .,UNCATEGORIZED
Not reach .,UNCATEGORIZED
Mummy a play it .,UNCATEGORIZED
Na play .,UNCATEGORIZED
A hurt me .,UNCATEGORIZED
A hurt the finger .,UNCATEGORIZED
Not talking any words .,UNCATEGORIZED
Not want it .,UNCATEGORIZED
Do n't break it .,UNCATEGORIZED
There 's .,UNCATEGORIZED
Have gone .,UNCATEGORIZED
No do n't do that .,UNCATEGORIZED
But it was n't called that .,UNCATEGORIZED
It 's called Sooty .,UNCATEGORIZED
Tony 's called man ?,UNCATEGORIZED
That 's called the postcode .,UNCATEGORIZED
To go in the kitchen underneath the the kitchen sink .,UNCATEGORIZED
To let all the steam out .,UNCATEGORIZED
Do n't get terribly excited darling .,UNCATEGORIZED
Must have been dropped or .,UNCATEGORIZED
There are actually .,UNCATEGORIZED
Do n't do n't draw near the pages .,UNCATEGORIZED
No just going phss .,UNCATEGORIZED
No a call me .,UNCATEGORIZED
Your goted get .,UNCATEGORIZED
And pull it .,UNCATEGORIZED
Is blew whoowhoo .,UNCATEGORIZED
There go .,UNCATEGORIZED
Do n't wan na .,UNCATEGORIZED
To go in the rubbish bin .,UNCATEGORIZED
Just pretend .,UNCATEGORIZED
Just wrapping it up .,UNCATEGORIZED
Just put it in there Mum .,UNCATEGORIZED
Just put it on that one on your lap .,UNCATEGORIZED
Just move the big box out of the way .,UNCATEGORIZED
And look at this lady in the back .,UNCATEGORIZED
Might fall off .,UNCATEGORIZED
There this white one look .,UNCATEGORIZED
Babies on the bus cry wah wah wah .,UNCATEGORIZED
Do n't switch the numbers off .,UNCATEGORIZED
Now give it to me .,UNCATEGORIZED
Can hear it .,UNCATEGORIZED
And look just there .,UNCATEGORIZED
And look out apple .,UNCATEGORIZED
But does n't matter .,UNCATEGORIZED
How did it .,UNCATEGORIZED
Just left your numbers on the bus .,UNCATEGORIZED
And do n't take that off .,UNCATEGORIZED
Do n't want it .,UNCATEGORIZED
Mum look .,UNCATEGORIZED
Might have a lunch .,UNCATEGORIZED
Hopefully wo n't need any more .,UNCATEGORIZED
Do n't look at me with that cheeky grin .,UNCATEGORIZED
Not got a headache .,UNCATEGORIZED
All your party things are ironed .,UNCATEGORIZED
Not not looking .,UNCATEGORIZED
Now eat nicely Thomas .,UNCATEGORIZED
Oh who 's ripped it ?,UNCATEGORIZED
Do n't eat too many sweets now .,UNCATEGORIZED
Just watch at the station .,UNCATEGORIZED
Can smell some salad there .,UNCATEGORIZED
Because them boss trains can be bumped on but .,UNCATEGORIZED
When the boss trains are bumped .,UNCATEGORIZED
So come here .,UNCATEGORIZED
This penguin is died .,UNCATEGORIZED
And eggs to eat .,UNCATEGORIZED
Better play football as well .,UNCATEGORIZED
For lying down ?,UNCATEGORIZED
First the tank engine 's broken down then .,UNCATEGORIZED
The train could be called two Thomases .,UNCATEGORIZED
Do n't want .,UNCATEGORIZED
There 's not .,UNCATEGORIZED
Do n't press down on it so hard Thomas .,UNCATEGORIZED
But whereabouts Thomas ?,UNCATEGORIZED
There 's no turning off button .,UNCATEGORIZED
There has ta be .,UNCATEGORIZED
Do n't drink it all .,UNCATEGORIZED
Because a having a picnic today .,UNCATEGORIZED
